report_date,comparison_period,nrd_phase,spine,launch_date,metric,value_2019_baseline,value_current,pct_change
Jul-2024,Q4-2019 vs Q4-2023,Programme Total,All Phases,,residents_400m_15min_freq_million,1.0,0.9,90.0
Jul-2024,Q4-2019 vs Q4-2023,Programme Total,All Phases,,residents_400m_15min_city_pct_change,16.0,9.0,56.2
Mar-2025,Q2-2019 vs Q2-2024,Programme Total,All Phases,,access_employment_30min_pct_change,18.0,12.0,66.7
Mar-2025,Q2-2019 vs Q2-2024,Programme Total,All Phases,,access_jobs_uni_pct_change_low,14.0,11.0,78.6
Mar-2025,Q2-2019 vs Q2-2024,Programme Total,All Phases,,access_jobs_uni_pct_change_high,20.0,17.0,85.0
Mar-2025,Q2-2019 vs Q2-2024,Programme Total,All Phases,,residents_400m_10min_freq_pct_change,35.0,23.0,65.7
Mar-2025,Q2-2019 vs Q2-2024,Programme Total,All Phases,,residents_400m_15min_freq_million,1.0,0.9,90.0
Mar-2025,Q2-2019 vs Q2-2024,Programme Total,All Phases,,residents_400m_15min_city_pct_change,16.0,9.0,56.2
Dec-2025,Q3-2019 vs Q3-2025,Programme Total,All Phases,,access_employment_30min_pct_change,18.0,12.0,66.7
Dec-2025,Q3-2019 vs Q3-2025,Programme Total,All Phases,,access_jobs_uni_pct_change_low,14.0,11.0,78.6
Dec-2025,Q3-2019 vs Q3-2025,Programme Total,All Phases,,access_jobs_uni_pct_change_high,20.0,17.0,85.0
Dec-2025,Q3-2019 vs Q3-2025,Programme Total,All Phases,,residents_400m_10min_freq_pct_change,35.0,23.0,65.7
Dec-2025,Q3-2019 vs Q3-2025,Programme Total,All Phases,,residents_400m_15min_freq_million,1.0,0.9,90.0
Dec-2025,Q3-2019 vs Q3-2025,Programme Total,All Phases,,residents_400m_15min_city_pct_change,16.0,9.0,56.2
Jul-2024,Q4-2019 vs Q4-2023,NRD Combined,Phases 1-5a,,pax_boardings_million,31.7,40.1,26.5
Mar-2025,Q2-2019 vs Q2-2024,NRD Combined,Phases 1-5b,,pax_boardings_million,38.0,56.1,47.6
Dec-2025,Q3-2019 vs Q3-2025,NRD Combined,Phases 1-6a,,pax_boardings_million,66.7,86.7,30.0
